plant,material,procurement_type,lead_time_days,order_policy_note,reason_code
NW04,MAT-200076,X,60.0,Mixed procurement,READY
NW04,MAT-200077,E,60.0,External procurement,READY
NW04,MAT-200078,F,35.0,In-house production,READY
NW04,MAT-200085,F,45.0,In-house production,READY
NW04,MAT-200087,E,45.0,External procurement,READY
NW04,MAT-200094,X,60.0,Mixed procurement,READY
NW04,MAT-200109,X,21.0,Mixed procurement,READY
NW04,MAT-200112,X,35.0,Mixed procurement,READY
NW04,MAT-200117,X,35.0,Mixed procurement,READY
NW04,MAT-200121,E,21.0,External procurement,READY
NW04,MAT-200126,X,28.0,Mixed procurement,READY
NW04,MAT-200136,E,60.0,External procurement,READY
NW04,MAT-200139,X,60.0,Mixed procurement,READY
NW04,MAT-200144,F,28.0,In-house production,READY
NW04,MAT-200156,E,14.0,External procurement,READY
NW04,MAT-200158,F,35.0,In-house production,READY
NW04,MAT-200166,E,14.0,External procurement,READY
NW04,MAT-200170,F,35.0,In-house production,READY
NW04,MAT-200178,F,28.0,In-house production,READY
NW04,MAT-200180,F,60.0,In-house production,READY
NW04,MAT-200182,E,45.0,External procurement,READY
NW04,MAT-200193,F,45.0,In-house production,READY
NW04,MAT-200202,X,60.0,Mixed procurement,READY
NW04,MAT-200203,E,45.0,External procurement,READY
NW04,MAT-200211,E,45.0,External procurement,READY
NW04,MAT-200219,X,21.0,Mixed procurement,READY
NW04,MAT-200232,F,45.0,In-house production,READY
NW04,MAT-200234,E,60.0,External procurement,READY
NW04,MAT-200236,E,35.0,External procurement,READY
NW04,MAT-200238,F,28.0,In-house production,READY
NW04,MAT-200239,E,45.0,External procurement,READY
NW04,MAT-200244,F,45.0,In-house production,READY
NW04,MAT-200251,X,60.0,Mixed procurement,READY
NW04,MAT-200256,E,60.0,External procurement,READY
NW04,MAT-200266,X,45.0,Mixed procurement,READY
NW04,MAT-200269,E,21.0,External procurement,READY
NW04,MAT-200271,F,45.0,In-house production,READY
NW04,MAT-200277,X,28.0,Mixed procurement,READY
NW04,MAT-200279,E,14.0,External procurement,READY
NW04,MAT-200291,E,45.0,External procurement,READY
NW04,MAT-200299,X,35.0,Mixed procurement,READY
NW04,MAT-200307,E,21.0,External procurement,READY
NW04,MAT-200314,E,35.0,External procurement,READY
NW04,MAT-200315,X,21.0,Mixed procurement,READY
NW04,MAT-200322,E,21.0,External procurement,READY
NW04,MAT-200330,X,28.0,Mixed procurement,READY
NW04,MAT-200332,F,60.0,In-house production,READY
NW04,MAT-200333,E,45.0,External procurement,READY
NW04,MAT-200335,E,35.0,External procurement,READY
NW04,MAT-200342,X,21.0,Mixed procurement,READY
NW04,MAT-200361,X,28.0,Mixed procurement,READY
NW04,MAT-200363,X,35.0,Mixed procurement,READY
NW04,MAT-200364,F,45.0,In-house production,READY
NW04,MAT-200365,E,60.0,External procurement,READY
NW04,MAT-200366,E,14.0,External procurement,READY
NW04,MAT-200368,F,45.0,In-house production,READY
NW04,MAT-200370,F,35.0,In-house production,READY
NW04,MAT-200380,E,28.0,External procurement,READY
NW04,MAT-200391,F,28.0,In-house production,READY
NW04,MAT-200393,E,45.0,External procurement,READY
NW04,MAT-200394,F,60.0,In-house production,READY
NW04,MAT-200402,E,45.0,External procurement,READY
NW04,MAT-200405,F,21.0,In-house production,READY
NW04,MAT-200406,X,45.0,Mixed procurement,READY
NW04,MAT-200407,E,14.0,External procurement,READY
NW04,MAT-200412,E,45.0,External procurement,READY
NW04,MAT-200420,X,60.0,Mixed procurement,READY
NW04,MAT-200423,E,45.0,External procurement,READY
NW04,MAT-200432,F,60.0,In-house production,READY
NW04,MAT-200434,E,60.0,External procurement,READY
NW04,MAT-200435,E,28.0,External procurement,READY
NW04,MAT-200438,E,45.0,External procurement,READY
NW04,MAT-200456,X,35.0,Mixed procurement,READY
NW04,MAT-200458,E,14.0,External procurement,READY
NW04,MAT-200461,X,45.0,Mixed procurement,READY
NW04,MAT-200471,X,28.0,Mixed procurement,READY
NW04,MAT-200474,E,14.0,External procurement,READY
NW04,MAT-200478,X,14.0,Mixed procurement,READY
NW04,MAT-200479,X,21.0,Mixed procurement,READY
NW04,MAT-200484,E,21.0,External procurement,READY
NW04,MAT-200486,X,28.0,Mixed procurement,READY
NW04,MAT-200488,F,35.0,In-house production,READY
NW04,MAT-200489,X,14.0,Mixed procurement,READY
NW04,MAT-200491,F,14.0,In-house production,READY
NW04,MAT-200495,X,14.0,Mixed procurement,READY
NW04,MAT-200496,X,21.0,Mixed procurement,READY
NW04,MAT-200505,E,28.0,External procurement,READY
NW04,MAT-200507,F,21.0,In-house production,READY
NW04,MAT-200508,F,45.0,In-house production,READY
NW04,MAT-200511,E,45.0,External procurement,READY
NW04,MAT-200512,E,60.0,External procurement,READY
NW04,MAT-200531,X,14.0,Mixed procurement,READY
NW04,MAT-200532,F,28.0,In-house production,READY
NW04,MAT-200533,E,28.0,External procurement,READY
NW04,MAT-200538,E,28.0,External procurement,READY
NW04,MAT-200543,X,60.0,Mixed procurement,READY
NW04,MAT-200554,X,45.0,Mixed procurement,READY
NW04,MAT-200557,F,21.0,In-house production,READY
NW04,MAT-200564,X,45.0,Mixed procurement,READY
NW04,MAT-200566,X,21.0,Mixed procurement,READY
NW04,MAT-200576,F,60.0,In-house production,READY
NW04,MAT-200579,E,35.0,External procurement,READY
NW04,MAT-200594,X,21.0,Mixed procurement,READY
NW04,MAT-200597,E,14.0,External procurement,READY
NW04,MAT-200600,E,35.0,External procurement,READY
NW04,MAT-200614,E,45.0,External procurement,READY
NW04,MAT-200622,E,45.0,External procurement,READY
NW04,MAT-200624,E,14.0,External procurement,READY
NW04,MAT-200632,E,35.0,External procurement,READY
NW04,MAT-200640,X,45.0,Mixed procurement,READY
NW04,MAT-200645,X,35.0,Mixed procurement,READY
NW04,MAT-200654,F,60.0,In-house production,READY
NW04,MAT-200656,X,35.0,Mixed procurement,READY
NW04,MAT-200657,F,35.0,In-house production,READY
NW04,MAT-200669,X,14.0,Mixed procurement,READY
NW04,MAT-200670,E,21.0,External procurement,READY
NW04,MAT-200674,X,60.0,Mixed procurement,READY
NW04,MAT-200677,X,14.0,Mixed procurement,READY
NW04,MAT-200687,X,28.0,Mixed procurement,READY
NW04,MAT-200693,X,14.0,Mixed procurement,READY
NW04,MAT-200694,X,28.0,Mixed procurement,READY
NW04,MAT-200698,X,14.0,Mixed procurement,READY
NW04,MAT-200708,X,45.0,Mixed procurement,READY
NW04,MAT-200712,F,60.0,In-house production,READY
NW04,MAT-200718,F,21.0,In-house production,READY
NW04,MAT-200722,E,45.0,External procurement,READY
NW04,MAT-200723,F,28.0,In-house production,READY
NW04,MAT-200732,F,60.0,In-house production,READY
NW04,MAT-200734,E,21.0,External procurement,READY
NW04,MAT-200737,X,60.0,Mixed procurement,READY
NW04,MAT-200740,F,28.0,In-house production,READY
NW04,MAT-200743,X,60.0,Mixed procurement,READY
NW04,MAT-200745,F,14.0,In-house production,READY
NW04,MAT-200757,X,14.0,Mixed procurement,READY
NW04,MAT-200760,X,35.0,Mixed procurement,READY
NW04,MAT-200763,F,45.0,In-house production,READY
NW04,MAT-200766,F,35.0,In-house production,READY
NW04,MAT-200769,X,21.0,Mixed procurement,READY
NW04,MAT-200770,F,35.0,In-house production,READY
NW04,MAT-200781,X,28.0,Mixed procurement,READY
NW04,MAT-200788,X,14.0,Mixed procurement,READY
NW04,MAT-200791,X,45.0,Mixed procurement,READY
NW04,MAT-200792,X,45.0,Mixed procurement,READY
NW04,MAT-200794,E,60.0,External procurement,READY
NW04,MAT-200797,F,35.0,In-house production,READY
NW04,MAT-200799,E,35.0,External procurement,READY
NW04,MAT-200801,F,35.0,In-house production,READY
NW04,MAT-200805,X,60.0,Mixed procurement,READY
NW04,MAT-200811,X,21.0,Mixed procurement,READY
NW04,MAT-200812,F,35.0,In-house production,READY
NW04,MAT-200813,X,28.0,Mixed procurement,READY
NW04,MAT-200817,F,35.0,In-house production,READY
NW04,MAT-200838,F,60.0,In-house production,READY
NW04,MAT-200849,E,45.0,External procurement,READY
NW04,MAT-200857,X,21.0,Mixed procurement,READY
NW04,MAT-200858,E,14.0,External procurement,READY
NW04,MAT-200859,E,21.0,External procurement,READY
NW04,MAT-200861,E,14.0,External procurement,READY
NW04,MAT-200866,E,28.0,External procurement,READY
NW04,MAT-200882,E,45.0,External procurement,READY
NW04,MAT-200887,F,21.0,In-house production,READY
NW04,MAT-200893,X,60.0,Mixed procurement,READY
NW05,MAT-100001,F,21.0,In-house production,READY
NW05,MAT-100004,X,21.0,Mixed procurement,READY
NW05,MAT-100015,E,45.0,External procurement,READY
NW05,MAT-100022,E,35.0,External procurement,READY
NW05,MAT-100025,X,21.0,Mixed procurement,READY
NW05,MAT-100030,E,14.0,External procurement,READY
NW05,MAT-100035,F,35.0,In-house production,READY
NW05,MAT-100041,F,14.0,In-house production,READY
NW05,MAT-100045,F,28.0,In-house production,READY
NW05,MAT-100046,E,28.0,External procurement,READY
NW05,MAT-100050,X,60.0,Mixed procurement,READY
NW05,MAT-100052,X,45.0,Mixed procurement,READY
NW05,MAT-100059,F,28.0,In-house production,READY
NW05,MAT-100060,E,35.0,External procurement,READY
NW05,MAT-100063,E,45.0,External procurement,READY
NW05,MAT-100075,E,14.0,External procurement,READY
NW05,MAT-100083,X,60.0,Mixed procurement,READY
NW05,MAT-100085,E,35.0,External procurement,READY
NW05,MAT-100096,E,14.0,External procurement,READY
NW05,MAT-100100,F,21.0,In-house production,READY
NW05,MAT-100107,F,28.0,In-house production,READY
NW05,MAT-100118,F,60.0,In-house production,READY
NW05,MAT-100139,X,28.0,Mixed procurement,READY
NW05,MAT-100140,F,21.0,In-house production,READY
NW05,MAT-100166,F,45.0,In-house production,READY
NW05,MAT-100168,X,14.0,Mixed procurement,READY
NW05,MAT-100170,X,45.0,Mixed procurement,READY
NW05,MAT-100176,X,14.0,Mixed procurement,READY
NW05,MAT-100177,E,45.0,External procurement,READY
NW05,MAT-100188,E,21.0,External procurement,READY
NW05,MAT-100198,E,45.0,External procurement,READY
NW05,MAT-100200,X,35.0,Mixed procurement,READY
NW05,MAT-100202,E,35.0,External procurement,READY
NW05,MAT-100203,F,35.0,In-house production,READY
NW05,MAT-100207,X,45.0,Mixed procurement,READY
NW05,MAT-100215,E,28.0,External procurement,READY
NW05,MAT-100218,F,60.0,In-house production,READY
NW05,MAT-100224,F,60.0,In-house production,READY
NW05,MAT-100227,F,35.0,In-house production,READY
NW05,MAT-100228,X,45.0,Mixed procurement,READY
NW05,MAT-100231,E,14.0,External procurement,READY
NW05,MAT-100232,X,45.0,Mixed procurement,READY
NW05,MAT-100239,F,21.0,In-house production,READY
NW05,MAT-100241,E,60.0,External procurement,READY
NW05,MAT-100243,F,14.0,In-house production,READY
NW05,MAT-100245,E,28.0,External procurement,READY
NW05,MAT-100246,F,35.0,In-house production,READY
NW05,MAT-100248,E,35.0,External procurement,READY
NW05,MAT-100262,E,21.0,External procurement,READY
NW05,MAT-100271,F,60.0,In-house production,READY
NW05,MAT-100272,F,35.0,In-house production,READY
NW05,MAT-100278,E,35.0,External procurement,READY
NW05,MAT-100290,X,35.0,Mixed procurement,READY
NW05,MAT-100291,X,60.0,Mixed procurement,READY
NW05,MAT-100310,X,14.0,Mixed procurement,READY
NW05,MAT-100311,F,14.0,In-house production,READY
NW05,MAT-100317,E,21.0,External procurement,READY
NW05,MAT-100319,E,35.0,External procurement,READY
NW05,MAT-100328,E,14.0,External procurement,READY
NW05,MAT-100329,X,45.0,Mixed procurement,READY
NW05,MAT-100333,F,45.0,In-house production,READY
NW05,MAT-100334,X,14.0,Mixed procurement,READY
NW05,MAT-100339,X,60.0,Mixed procurement,READY
NW05,MAT-100353,F,14.0,In-house production,READY
NW05,MAT-100355,F,14.0,In-house production,READY
NW05,MAT-100358,E,45.0,External procurement,READY
NW05,MAT-100359,X,21.0,Mixed procurement,READY
NW05,MAT-100362,X,28.0,Mixed procurement,READY
NW05,MAT-100364,X,35.0,Mixed procurement,READY
NW05,MAT-100368,X,28.0,Mixed procurement,READY
NW05,MAT-100371,X,14.0,Mixed procurement,READY
NW05,MAT-100372,X,60.0,Mixed procurement,READY
NW05,MAT-100374,E,45.0,External procurement,READY
NW05,MAT-100384,E,28.0,External procurement,READY
NW05,MAT-100385,X,28.0,Mixed procurement,READY
NW05,MAT-100386,E,35.0,External procurement,READY
NW05,MAT-100392,X,60.0,Mixed procurement,READY
NW05,MAT-100393,E,21.0,External procurement,READY
NW05,MAT-100394,F,28.0,In-house production,READY
NW05,MAT-100401,X,45.0,Mixed procurement,READY
NW05,MAT-100409,E,28.0,External procurement,READY
NW05,MAT-100410,E,21.0,External procurement,READY
NW05,MAT-100412,E,35.0,External procurement,READY
NW05,MAT-100419,X,35.0,Mixed procurement,READY
NW05,MAT-100421,X,21.0,Mixed procurement,READY
NW05,MAT-100426,X,28.0,Mixed procurement,READY
NW05,MAT-100431,F,21.0,In-house production,READY
NW05,MAT-100432,X,60.0,Mixed procurement,READY
NW05,MAT-100434,F,45.0,In-house production,READY
NW05,MAT-100444,E,21.0,External procurement,READY
NW05,MAT-100446,F,21.0,In-house production,READY
NW05,MAT-100451,E,28.0,External procurement,READY
NW05,MAT-100452,E,28.0,External procurement,READY
NW05,MAT-100465,E,35.0,External procurement,READY
NW05,MAT-100473,F,14.0,In-house production,READY
NW05,MAT-100476,X,60.0,Mixed procurement,READY
NW05,MAT-100483,F,60.0,In-house production,READY
NW05,MAT-100484,X,35.0,Mixed procurement,READY
NW05,MAT-100488,F,35.0,In-house production,READY
NW05,MAT-100489,X,35.0,Mixed procurement,READY
NW05,MAT-100499,X,21.0,Mixed procurement,READY
NW05,MAT-100502,E,60.0,External procurement,READY
NW05,MAT-100503,F,28.0,In-house production,READY
NW05,MAT-100518,X,21.0,Mixed procurement,READY
NW05,MAT-100521,F,60.0,In-house production,READY
NW05,MAT-100523,X,28.0,Mixed procurement,READY
NW05,MAT-100530,F,21.0,In-house production,READY
NW05,MAT-100533,F,28.0,In-house production,READY
NW05,MAT-100534,E,45.0,External procurement,READY
NW05,MAT-100536,X,14.0,Mixed procurement,READY
NW05,MAT-100537,E,28.0,External procurement,READY
NW05,MAT-100538,E,28.0,External procurement,READY
NW05,MAT-100539,F,45.0,In-house production,READY
NW05,MAT-100546,F,45.0,In-house production,READY
NW05,MAT-100550,E,21.0,External procurement,READY
NW05,MAT-100553,E,60.0,External procurement,READY
NW05,MAT-100558,X,14.0,Mixed procurement,READY
NW05,MAT-100562,F,21.0,In-house production,READY
NW05,MAT-100573,F,21.0,In-house production,READY
NW05,MAT-100574,X,45.0,Mixed procurement,READY
NW05,MAT-100576,E,60.0,External procurement,READY
NW05,MAT-100577,F,28.0,In-house production,READY
NW05,MAT-100583,X,14.0,Mixed procurement,READY
NW05,MAT-100588,X,28.0,Mixed procurement,READY
NW05,MAT-100589,F,35.0,In-house production,READY
NW05,MAT-100594,X,45.0,Mixed procurement,READY
NW05,MAT-100598,E,35.0,External procurement,READY
NW05,MAT-100614,X,60.0,Mixed procurement,READY
NW05,MAT-100617,F,14.0,In-house production,READY
NW05,MAT-100619,F,21.0,In-house production,READY
NW05,MAT-100622,F,28.0,In-house production,READY
NW05,MAT-100628,E,60.0,External procurement,READY
NW05,MAT-100643,E,14.0,External procurement,READY
NW05,MAT-100648,X,21.0,Mixed procurement,READY
NW05,MAT-100652,X,14.0,Mixed procurement,READY
NW05,MAT-100653,X,35.0,Mixed procurement,READY
NW05,MAT-100655,X,60.0,Mixed procurement,READY
NW05,MAT-100656,F,28.0,In-house production,READY
NW05,MAT-100658,X,14.0,Mixed procurement,READY
NW05,MAT-100659,E,14.0,External procurement,READY
NW05,MAT-100664,E,45.0,External procurement,READY
NW05,MAT-100668,E,45.0,External procurement,READY
NW05,MAT-100669,X,60.0,Mixed procurement,READY
NW05,MAT-100672,F,45.0,In-house production,READY
NW05,MAT-100675,E,14.0,External procurement,READY
NW05,MAT-100676,E,28.0,External procurement,READY
NW05,MAT-100693,F,45.0,In-house production,READY
NW05,MAT-100696,E,21.0,External procurement,READY
NW05,MAT-100698,E,21.0,External procurement,READY
NW05,MAT-100701,X,45.0,Mixed procurement,READY
NW05,MAT-100705,X,14.0,Mixed procurement,READY
NW05,MAT-100709,F,35.0,In-house production,READY
NW05,MAT-100712,X,14.0,Mixed procurement,READY
NW05,MAT-100716,X,60.0,Mixed procurement,READY
NW05,MAT-100718,E,35.0,External procurement,READY
NW05,MAT-100725,F,14.0,In-house production,READY
NW05,MAT-100731,F,21.0,In-house production,READY
NW05,MAT-100735,E,28.0,External procurement,READY
NW05,MAT-100751,E,35.0,External procurement,READY
NW05,MAT-100755,E,35.0,External procurement,READY
NW05,MAT-100758,F,45.0,In-house production,READY
NW05,MAT-100761,X,60.0,Mixed procurement,READY
NW05,MAT-100769,F,21.0,In-house production,READY
NW05,MAT-100787,E,35.0,External procurement,READY
NW05,MAT-100790,F,28.0,In-house production,READY
NW05,MAT-100793,E,45.0,External procurement,READY
NW05,MAT-100806,F,35.0,In-house production,READY
NW05,MAT-100807,F,28.0,In-house production,READY
NW05,MAT-100816,X,35.0,Mixed procurement,READY
NW05,MAT-100817,X,35.0,Mixed procurement,READY
NW05,MAT-100819,F,28.0,In-house production,READY
NW05,MAT-100820,F,28.0,In-house production,READY
NW05,MAT-100821,X,28.0,Mixed procurement,READY
NW05,MAT-100824,F,45.0,In-house production,READY
NW05,MAT-100827,X,14.0,Mixed procurement,READY
NW05,MAT-100828,X,28.0,Mixed procurement,READY
NW05,MAT-100830,X,45.0,Mixed procurement,READY
NW05,MAT-100841,X,14.0,Mixed procurement,READY
NW05,MAT-100842,F,35.0,In-house production,READY
NW05,MAT-100845,F,45.0,In-house production,READY
NW05,MAT-100848,X,35.0,Mixed procurement,READY
NW05,MAT-100854,X,21.0,Mixed procurement,READY
NW05,MAT-100860,E,60.0,External procurement,READY
NW05,MAT-100871,F,21.0,In-house production,READY
NW05,MAT-100873,X,28.0,Mixed procurement,READY
NW05,MAT-100886,E,21.0,External procurement,READY
NW05,MAT-100894,F,60.0,In-house production,READY
NW05,MAT-100897,E,14.0,External procurement,READY
NW05,MAT-100904,X,21.0,Mixed procurement,READY
NW05,MAT-100905,X,21.0,Mixed procurement,READY
NW05,MAT-100910,E,60.0,External procurement,READY
NW05,MAT-100916,E,14.0,External procurement,READY
NW05,MAT-100918,E,45.0,External procurement,READY
NW05,MAT-100921,E,35.0,External procurement,READY
NW05,MAT-100922,X,35.0,Mixed procurement,READY
NW05,MAT-100926,F,14.0,In-house production,READY
NW05,MAT-100927,E,14.0,External procurement,READY
NW05,MAT-100928,X,60.0,Mixed procurement,READY
NW05,MAT-100935,E,45.0,External procurement,READY
NW05,MAT-100937,X,28.0,Mixed procurement,READY
NW05,MAT-100938,E,45.0,External procurement,READY
NW05,MAT-100943,E,14.0,External procurement,READY
NW05,MAT-100947,F,35.0,In-house production,READY
NW05,MAT-100952,X,28.0,Mixed procurement,READY
NW05,MAT-100972,X,60.0,Mixed procurement,READY
NW05,MAT-100976,E,28.0,External procurement,READY
NW05,MAT-100980,E,21.0,External procurement,READY
NW05,MAT-100982,X,45.0,Mixed procurement,READY
NW05,MAT-100986,X,35.0,Mixed procurement,READY
NW05,MAT-100988,E,21.0,External procurement,READY
NW05,MAT-100990,E,14.0,External procurement,READY
NW05,MAT-100993,F,60.0,In-house production,READY
NW05,MAT-101000,E,21.0,External procurement,READY
NW05,MAT-101001,F,14.0,In-house production,READY
NW05,MAT-101002,F,60.0,In-house production,READY
NW05,MAT-101007,E,35.0,External procurement,READY
NW05,MAT-101008,E,35.0,External procurement,READY
NW05,MAT-101012,X,14.0,Mixed procurement,READY
NW05,MAT-101014,E,60.0,External procurement,READY
NW05,MAT-101016,F,60.0,In-house production,READY
NW05,MAT-101018,F,60.0,In-house production,READY
NW05,MAT-101024,F,60.0,In-house production,READY
NW05,MAT-101042,X,45.0,Mixed procurement,READY
NW05,MAT-101047,E,60.0,External procurement,READY
NW05,MAT-101048,E,35.0,External procurement,READY
NW05,MAT-101056,F,28.0,In-house production,READY
NW05,MAT-101065,E,21.0,External procurement,READY
NW05,MAT-101072,E,35.0,External procurement,READY
NW05,MAT-101073,F,21.0,In-house production,READY
NW05,MAT-101075,X,28.0,Mixed procurement,READY
NW05,MAT-101076,X,21.0,Mixed procurement,READY
NW05,MAT-101077,F,28.0,In-house production,READY
NW05,MAT-101087,X,14.0,Mixed procurement,READY
NW05,MAT-101093,E,35.0,External procurement,READY
NW05,MAT-101097,E,21.0,External procurement,READY
NW05,MAT-101099,F,60.0,In-house production,READY
NW05,MAT-101112,F,60.0,In-house production,READY
NW05,MAT-101115,X,35.0,Mixed procurement,READY
NW05,MAT-101134,F,21.0,In-house production,READY
NW05,MAT-101136,X,14.0,Mixed procurement,READY
NW05,MAT-101137,X,45.0,Mixed procurement,READY
NW05,MAT-101140,E,21.0,External procurement,READY
NW05,MAT-101141,F,35.0,In-house production,READY
NW05,MAT-101155,E,28.0,External procurement,READY
NW05,MAT-101156,X,28.0,Mixed procurement,READY
NW05,MAT-101160,F,21.0,In-house production,READY
NW05,MAT-101167,F,14.0,In-house production,READY
NW05,MAT-101168,X,35.0,Mixed procurement,READY
NW05,MAT-101171,X,28.0,Mixed procurement,READY
NW05,MAT-101175,E,60.0,External procurement,READY
NW05,MAT-101177,F,45.0,In-house production,READY
NW05,MAT-101180,E,28.0,External procurement,READY
NW05,MAT-101181,X,28.0,Mixed procurement,READY
NW05,MAT-101182,F,28.0,In-house production,READY
NW05,MAT-101196,X,45.0,Mixed procurement,READY
NW05,MAT-101199,X,60.0,Mixed procurement,READY
NW05,MAT-101202,X,45.0,Mixed procurement,READY
NW05,MAT-101213,F,14.0,In-house production,READY
NW05,MAT-101214,E,14.0,External procurement,READY
NW05,MAT-101215,F,14.0,In-house production,READY
NW05,MAT-101222,E,28.0,External procurement,READY
NW05,MAT-101228,F,28.0,In-house production,READY
NW05,MAT-101229,X,14.0,Mixed procurement,READY
NW05,MAT-101230,F,45.0,In-house production,READY
NW05,MAT-101235,E,45.0,External procurement,READY
NW05,MAT-101246,E,60.0,External procurement,READY
NW05,MAT-101251,F,45.0,In-house production,READY
NW05,MAT-101252,X,35.0,Mixed procurement,READY
NW05,MAT-101258,E,35.0,External procurement,READY
NW05,MAT-101260,F,45.0,In-house production,READY
NW05,MAT-101265,F,14.0,In-house production,READY
NW05,MAT-101266,F,60.0,In-house production,READY
NW05,MAT-101279,X,21.0,Mixed procurement,READY
NW05,MAT-101284,E,21.0,External procurement,READY
NW05,MAT-101291,E,35.0,External procurement,READY
NW05,MAT-101299,X,35.0,Mixed procurement,READY
NW05,MAT-101308,F,21.0,In-house production,READY
NW05,MAT-101316,F,21.0,In-house production,READY
NW05,MAT-101317,E,28.0,External procurement,READY
NW05,MAT-101327,X,45.0,Mixed procurement,READY
NW05,MAT-101329,E,14.0,External procurement,READY
NW05,MAT-101331,E,35.0,External procurement,READY
NW05,MAT-101337,F,45.0,In-house production,READY
NW05,MAT-101348,E,60.0,External procurement,READY
NW05,MAT-101349,X,60.0,Mixed procurement,READY
NW05,MAT-101352,X,21.0,Mixed procurement,READY
NW05,MAT-101357,X,28.0,Mixed procurement,READY
NW05,MAT-101360,X,14.0,Mixed procurement,READY
NW05,MAT-101361,E,21.0,External procurement,READY
NW05,MAT-101379,E,21.0,External procurement,READY
NW05,MAT-101384,X,14.0,Mixed procurement,READY
NW05,MAT-101386,E,28.0,External procurement,READY
NW05,MAT-101390,X,28.0,Mixed procurement,READY
NW05,MAT-101401,E,14.0,External procurement,READY
NW05,MAT-101415,E,35.0,External procurement,READY
NW05,MAT-101423,X,60.0,Mixed procurement,READY
NW05,MAT-101430,X,21.0,Mixed procurement,READY
NW05,MAT-101432,F,21.0,In-house production,READY
NW05,MAT-101434,E,28.0,External procurement,READY
NW05,MAT-101439,X,60.0,Mixed procurement,READY
NW05,MAT-101443,E,45.0,External procurement,READY
NW05,MAT-101450,F,14.0,In-house production,READY
NW05,MAT-101454,X,28.0,Mixed procurement,READY
NW05,MAT-101468,E,21.0,External procurement,READY
NW05,MAT-101477,E,14.0,External procurement,READY
NW05,MAT-101480,X,45.0,Mixed procurement,READY
NW05,MAT-101481,F,21.0,In-house production,READY
NW05,MAT-101484,F,45.0,In-house production,READY
NW05,MAT-101485,E,14.0,External procurement,READY
NW05,MAT-101488,F,14.0,In-house production,READY
NW05,MAT-101489,F,28.0,In-house production,READY
NW05,MAT-101496,X,60.0,Mixed procurement,READY
NW05,MAT-101497,X,35.0,Mixed procurement,READY
NW05,MAT-200002,F,21.0,In-house production,READY
NW05,MAT-200003,F,60.0,In-house production,READY
NW05,MAT-200006,E,45.0,External procurement,READY
NW05,MAT-200008,X,14.0,Mixed procurement,READY
NW05,MAT-200012,F,14.0,In-house production,READY
NW05,MAT-200015,E,60.0,External procurement,READY
NW05,MAT-200017,F,21.0,In-house production,READY
NW05,MAT-200038,E,45.0,External procurement,READY
NW05,MAT-200046,E,28.0,External procurement,READY
NW05,MAT-200047,F,45.0,In-house production,READY
NW05,MAT-200049,F,35.0,In-house production,READY
NW05,MAT-200055,E,28.0,External procurement,READY
NW05,MAT-200056,X,28.0,Mixed procurement,READY
NW05,MAT-200058,E,21.0,External procurement,READY
NW05,MAT-200059,F,35.0,In-house production,READY
NW05,MAT-200060,F,45.0,In-house production,READY
NW05,MAT-200066,E,35.0,External procurement,READY
NW05,MAT-200067,F,14.0,In-house production,READY
NW05,MAT-200071,X,35.0,Mixed procurement,READY
NW05,MAT-200077,X,35.0,Mixed procurement,READY
NW05,MAT-200085,F,14.0,In-house production,READY
NW05,MAT-200087,E,28.0,External procurement,READY
NW05,MAT-200089,F,21.0,In-house production,READY
NW05,MAT-200094,F,35.0,In-house production,READY
NW05,MAT-200095,F,28.0,In-house production,READY
NW05,MAT-200096,X,60.0,Mixed procurement,READY
NW05,MAT-200098,E,45.0,External procurement,READY
NW05,MAT-200105,F,60.0,In-house production,READY
NW05,MAT-200106,X,45.0,Mixed procurement,READY
NW05,MAT-200120,E,21.0,External procurement,READY
NW05,MAT-200123,F,60.0,In-house production,READY
NW05,MAT-200126,F,35.0,In-house production,READY
NW05,MAT-200130,F,35.0,In-house production,READY
NW05,MAT-200132,E,35.0,External procurement,READY
NW05,MAT-200135,X,45.0,Mixed procurement,READY
NW05,MAT-200138,E,60.0,External procurement,READY
NW05,MAT-200139,X,35.0,Mixed procurement,READY
NW05,MAT-200141,F,21.0,In-house production,READY
NW05,MAT-200148,X,21.0,Mixed procurement,READY
NW05,MAT-200159,F,21.0,In-house production,READY
NW05,MAT-200160,E,60.0,External procurement,READY
NW05,MAT-200162,X,14.0,Mixed procurement,READY
NW05,MAT-200164,F,14.0,In-house production,READY
NW05,MAT-200166,E,14.0,External procurement,READY
NW05,MAT-200175,F,45.0,In-house production,READY
NW05,MAT-200184,X,45.0,Mixed procurement,READY
NW05,MAT-200185,X,21.0,Mixed procurement,READY
NW05,MAT-200193,X,45.0,Mixed procurement,READY
NW05,MAT-200194,E,21.0,External procurement,READY
NW05,MAT-200196,F,21.0,In-house production,READY
NW05,MAT-200200,X,14.0,Mixed procurement,READY
NW05,MAT-200201,X,60.0,Mixed procurement,READY
NW05,MAT-200205,E,45.0,External procurement,READY
NW05,MAT-200210,E,28.0,External procurement,READY
NW05,MAT-200213,E,45.0,External procurement,READY
NW05,MAT-200216,X,60.0,Mixed procurement,READY
NW05,MAT-200228,X,45.0,Mixed procurement,READY
NW05,MAT-200230,X,45.0,Mixed procurement,READY
NW05,MAT-200241,E,14.0,External procurement,READY
NW05,MAT-200247,X,60.0,Mixed procurement,READY
NW05,MAT-200248,E,14.0,External procurement,READY
