plant,header_material,component_material,effective_component_qty,scrap_factor
NW03,MAT-100086,RM-COIL-TI,5.344,1.0403
NW03,MAT-100092,RM-COIL-HC276,8.13,1.0424
NW03,MAT-100094,RM-COIL-NI,5.66,1.0536
NW03,MAT-100097,RM-COIL-AL,5.009,1.0856
NW03,MAT-100097,RM-COIL-SS316,6.846,1.0221
NW03,MAT-100099,RM-COIL-TI,5.383,1.0312
NW03,MAT-100099,RM-COIL-HC276,6.718,1.0424
NW03,MAT-100103,RM-COIL-AL,7.453,1.0231
NW03,MAT-100107,RM-COIL-NI,12.709,1.0697
NW03,MAT-100110,RM-COIL-AL,5.406,1.0506
NW03,MAT-100110,RM-COIL-HC276,6.904,1.0322
NW03,MAT-100113,RM-COIL-AL,10.373,1.0404
NW03,MAT-100113,RM-COIL-NI,11.05,1.0558
NW03,MAT-100116,RM-COIL-NI,5.74,1.066
NW03,MAT-100121,RM-COIL-AL,5.087,1.0568
NW03,MAT-100124,RM-COIL-AL,10.857,1.0588
NW03,MAT-100126,RM-COIL-SS304,8.162,1.0475
NW03,MAT-100126,RM-COIL-HC276,12.667,1.072
NW03,MAT-100130,RM-COIL-HC276,7.398,1.0576
NW03,MAT-100131,RM-COIL-HC276,12.006,1.0342
NW03,MAT-100132,RM-COIL-TI,6.754,1.066
NW03,MAT-100135,RM-COIL-HC276,8.708,1.0353
NW03,MAT-100137,RM-COIL-HC276,15.482,1.0414
NW03,MAT-100138,RM-COIL-HC276,11.176,1.0433
NW03,MAT-100138,RM-COIL-TI,8.688,1.0576
NW03,MAT-100146,RM-COIL-SS304,7.701,1.0475
NW03,MAT-100146,RM-COIL-AL,5.062,1.0708
NW03,MAT-100147,RM-COIL-SS316,6.232,1.0619
NW03,MAT-100156,RM-COIL-SS304,7.012,1.0404
NW03,MAT-100163,RM-COIL-TI,6.353,1.0424
NW03,MAT-100164,RM-COIL-TI,5.446,1.0636
NW03,MAT-100165,RM-COIL-SS316,7.58,1.0516
NW03,MAT-100165,RM-COIL-NI,5.663,1.0462
NW03,MAT-100173,RM-COIL-AL,10.752,1.0503
NW03,MAT-100174,RM-COIL-SS304,8.313,1.0495
NW03,MAT-100176,RM-COIL-AL,5.417,1.0191
NW03,MAT-100181,RM-COIL-SS316,8.818,1.0804
NW03,MAT-100181,RM-COIL-TI,5.003,1.0534
NW03,MAT-100183,RM-COIL-NI,5.726,1.0802
NW03,MAT-100185,RM-COIL-AL,9.035,1.0625
NW03,MAT-100187,RM-COIL-AL,7.162,1.0393
NW03,MAT-100198,RM-COIL-AL,5.849,1.0556
NW03,MAT-100198,RM-COIL-TI,5.847,1.0333
NW03,MAT-100203,RM-COIL-AL,7.332,1.0343
NW03,MAT-100209,RM-COIL-HC276,12.922,1.0496
NW03,MAT-100213,RM-COIL-AL,4.561,1.0231
NW03,MAT-100219,RM-COIL-SS316,8.216,1.0567
NW03,MAT-100220,RM-COIL-NI,9.296,1.0282
NW03,MAT-100222,RM-COIL-HC276,10.938,1.0343
NW03,MAT-100225,RM-COIL-AL,5.478,1.0373
NW03,MAT-100231,RM-COIL-NI,5.878,1.0414
NW03,MAT-100232,RM-COIL-NI,11.875,1.0434
NW03,MAT-100242,RM-COIL-AL,5.281,1.0688
NW03,MAT-100249,RM-COIL-NI,6.769,1.0701
NW03,MAT-100259,RM-COIL-SS316,8.73,1.0681
NW03,MAT-100264,RM-COIL-AL,5.249,1.0647
NW03,MAT-100268,RM-COIL-SS316,14.453,1.0638
NW03,MAT-100268,RM-COIL-HC276,17.327,1.0556
NW03,MAT-100274,RM-COIL-HC276,7.053,1.0404
NW03,MAT-100274,RM-COIL-SS304,7.214,1.0393
NW03,MAT-100279,RM-COIL-SS316,8.4,1.0698
NW03,MAT-100288,RM-COIL-HC276,8.303,1.0424
NW03,MAT-100295,RM-COIL-HC276,10.851,1.0486
NW03,MAT-100296,RM-COIL-NI,7.312,1.0696
NW03,MAT-100300,RM-COIL-TI,4.675,1.0513
NW03,MAT-100304,RM-COIL-NI,12.882,1.0628
NW03,MAT-100306,RM-COIL-TI,6.181,1.0384
NW03,MAT-100309,RM-COIL-SS316,7.822,1.0424
NW03,MAT-100312,RM-COIL-HC276,8.589,1.0698
NW03,MAT-100312,RM-COIL-SS316,6.243,1.0475
NW03,MAT-100322,RM-COIL-HC276,9.107,1.0392
NW03,MAT-100323,RM-COIL-SS316,14.784,1.0434
NW03,MAT-100323,RM-COIL-AL,10.256,1.0333
NW03,MAT-100330,RM-COIL-SS304,8.769,1.0897
NW03,MAT-100335,RM-COIL-NI,11.383,1.0547
NW03,MAT-100337,RM-COIL-HC276,7.3,1.0629
NW03,MAT-100338,RM-COIL-SS304,5.897,1.0567
NW03,MAT-100341,RM-COIL-SS304,14.305,1.0495
NW03,MAT-100345,RM-COIL-HC276,9.401,1.0505
NW03,MAT-100345,RM-COIL-SS316,8.263,1.0599
NW03,MAT-100347,RM-COIL-TI,10.864,1.0699
NW03,MAT-100352,RM-COIL-AL,8.376,1.0252
NW03,MAT-100355,RM-COIL-TI,7.074,1.0742
NW03,MAT-100358,RM-COIL-TI,5.265,1.0231
NW03,MAT-100360,RM-COIL-TI,5.312,1.0181
NW03,MAT-100366,RM-COIL-HC276,10.634,1.0681
NW03,MAT-100374,RM-COIL-NI,6.238,1.0331
NW03,MAT-100377,RM-COIL-HC276,12.591,1.0463
NW03,MAT-100383,RM-COIL-SS316,12.602,1.0272
NW03,MAT-100384,RM-COIL-SS316,8.546,1.077
NW03,MAT-100388,RM-COIL-SS316,11.896,1.0414
NW03,MAT-100394,RM-COIL-NI,5.36,1.0877
NW03,MAT-100397,RM-COIL-SS316,6.301,1.0718
NW03,MAT-100398,RM-COIL-SS316,7.253,1.0292
NW03,MAT-100401,RM-COIL-AL,9.063,1.0753
NW03,MAT-100403,RM-COIL-NI,9.404,1.0543
NW03,MAT-100407,RM-COIL-SS304,13.373,1.0644
NW03,MAT-100409,RM-COIL-SS304,7.889,1.0424
NW03,MAT-100411,RM-COIL-TI,5.249,1.0791
NW03,MAT-100418,RM-COIL-AL,5.223,1.0751
NW03,MAT-100448,RM-COIL-TI,11.357,1.0542
NW03,MAT-100451,RM-COIL-NI,8.702,1.0556
NW03,MAT-100457,RM-COIL-NI,6.283,1.0722
NW03,MAT-100462,RM-COIL-AL,6.731,1.0773
NW03,MAT-100465,RM-COIL-SS304,7.814,1.0191
NW03,MAT-100472,RM-COIL-SS316,11.707,1.0332
NW03,MAT-100473,RM-COIL-HC276,13.527,1.0394
NW03,MAT-100473,RM-COIL-TI,9.666,1.0272
NW03,MAT-100479,RM-COIL-AL,9.552,1.0434
NW03,MAT-100479,RM-COIL-SS304,12.687,1.0546
NW03,MAT-100486,RM-COIL-SS304,9.127,1.0588
NW03,MAT-100495,RM-COIL-SS316,8.134,1.0628
NW03,MAT-100497,RM-COIL-HC276,14.11,1.0608
NW03,MAT-100507,RM-COIL-SS316,8.5,1.0363
NW03,MAT-100511,RM-COIL-SS316,9.57,1.0545
NW03,MAT-100511,RM-COIL-SS304,8.251,1.0525
NW03,MAT-100517,RM-COIL-SS316,6.58,1.0201
NW03,MAT-100521,RM-COIL-NI,13.4,1.0608
NW03,MAT-100521,RM-COIL-HC276,15.848,1.0503
NW03,MAT-100530,RM-COIL-SS304,7.367,1.0792
NW03,MAT-100542,RM-COIL-NI,7.459,1.0412
NW03,MAT-100560,RM-COIL-HC276,7.152,1.0634
NW03,MAT-100560,RM-COIL-NI,7.252,1.0784
NW03,MAT-100567,RM-COIL-SS316,8.162,1.0404
NW03,MAT-100571,RM-COIL-SS316,8.69,1.0545
NW03,MAT-100571,RM-COIL-NI,8.084,1.0322
NW03,MAT-100573,RM-COIL-HC276,7.269,1.0728
NW03,MAT-100581,RM-COIL-HC276,17.296,1.0648
NW03,MAT-100583,RM-COIL-HC276,11.557,1.0721
NW03,MAT-100583,RM-COIL-SS304,8.41,1.0322
NW03,MAT-100584,RM-COIL-HC276,8.795,1.0527
NW03,MAT-100585,RM-COIL-SS316,8.784,1.0362
NW03,MAT-100588,RM-COIL-SS316,7.517,1.0573
NW03,MAT-100592,RM-COIL-TI,9.211,1.0575
NW03,MAT-100602,RM-COIL-NI,5.738,1.0599
NW03,MAT-100605,RM-COIL-SS304,12.737,1.076
NW03,MAT-100605,RM-COIL-HC276,13.818,1.0382
NW03,MAT-100606,RM-COIL-HC276,10.945,1.0373
NW03,MAT-100608,RM-COIL-AL,4.28,1.0729
NW03,MAT-100610,RM-COIL-SS316,6.786,1.0515
NW03,MAT-100612,RM-COIL-NI,7.253,1.0353
NW03,MAT-100617,RM-COIL-SS304,11.294,1.0866
NW03,MAT-100618,RM-COIL-TI,8.631,1.0485
NW03,MAT-100618,RM-COIL-SS316,9.927,1.0221
NW03,MAT-100620,RM-COIL-NI,7.282,1.0312
NW03,MAT-100621,RM-COIL-TI,6.341,1.0595
NW03,MAT-100622,RM-COIL-NI,5.574,1.0373
NW03,MAT-100626,RM-COIL-AL,4.952,1.0752
NW03,MAT-100626,RM-COIL-SS304,7.086,1.0619
NW03,MAT-100628,RM-COIL-SS304,12.976,1.0542
NW03,MAT-100628,RM-COIL-NI,12.279,1.0761
NW03,MAT-100630,RM-COIL-SS304,7.398,1.0424
NW03,MAT-100632,RM-COIL-TI,5.402,1.0322
NW03,MAT-100633,RM-COIL-SS316,7.587,1.0638
NW03,MAT-100635,RM-COIL-HC276,12.413,1.0697
NW03,MAT-100636,RM-COIL-AL,5.955,1.0813
NW03,MAT-100640,RM-COIL-TI,8.652,1.0496
NW03,MAT-100640,RM-COIL-SS316,15.3,1.0722
NW03,MAT-100642,RM-COIL-AL,5.392,1.0454
NW03,MAT-100644,RM-COIL-NI,6.417,1.064
NW03,MAT-100648,RM-COIL-TI,6.231,1.0494
NW03,MAT-100648,RM-COIL-NI,6.394,1.0558
NW03,MAT-100651,RM-COIL-NI,7.613,1.0721
NW03,MAT-100652,RM-COIL-SS304,13.502,1.0577
NW03,MAT-100653,RM-COIL-SS316,11.917,1.0678
NW03,MAT-100654,RM-COIL-TI,6.092,1.0514
NW03,MAT-100654,RM-COIL-NI,8.154,1.0515
NW03,MAT-100656,RM-COIL-TI,6.228,1.0546
NW03,MAT-100656,RM-COIL-NI,5.386,1.0732
NW03,MAT-100657,RM-COIL-NI,7.404,1.0717
NW03,MAT-100660,RM-COIL-NI,6.161,1.0333
NW03,MAT-100662,RM-COIL-HC276,8.457,1.0516
NW03,MAT-100662,RM-COIL-SS316,8.673,1.0685
NW03,MAT-100664,RM-COIL-AL,9.695,1.0496
NW03,MAT-100667,RM-COIL-NI,9.941,1.0784
NW03,MAT-100671,RM-COIL-HC276,14.745,1.0671
NW03,MAT-100676,RM-COIL-SS316,15.372,1.065
NW03,MAT-100677,RM-COIL-AL,8.416,1.0475
NW03,MAT-100677,RM-COIL-SS316,12.0,1.0712
NW03,MAT-100682,RM-COIL-HC276,8.078,1.0691
NW03,MAT-100682,RM-COIL-SS304,5.842,1.0414
NW03,MAT-100684,RM-COIL-TI,5.716,1.068
NW03,MAT-100684,RM-COIL-SS316,8.31,1.0383
NW03,MAT-100689,RM-COIL-HC276,12.377,1.0605
NW03,MAT-100692,RM-COIL-SS316,6.61,1.076
NW03,MAT-100694,RM-COIL-TI,5.924,1.0483
NW03,MAT-100694,RM-COIL-AL,5.157,1.0527
NW03,MAT-100699,RM-COIL-TI,4.673,1.0669
NW03,MAT-100704,RM-COIL-SS316,7.897,1.0535
NW03,MAT-100706,RM-COIL-TI,6.003,1.0282
NW03,MAT-100707,RM-COIL-HC276,14.07,1.0424
NW03,MAT-100721,RM-COIL-SS316,8.993,1.0578
NW03,MAT-100722,RM-COIL-AL,5.395,1.0584
NW03,MAT-100724,RM-COIL-SS316,16.38,1.0845
NW03,MAT-100736,RM-COIL-TI,11.157,1.0506
NW03,MAT-100737,RM-COIL-SS304,12.999,1.0568
NW03,MAT-100739,RM-COIL-SS316,9.824,1.0524
NW03,MAT-100739,RM-COIL-NI,9.391,1.0331
NW03,MAT-100741,RM-COIL-SS316,6.841,1.0302
NW03,MAT-100751,RM-COIL-HC276,10.948,1.0333
NW03,MAT-100762,RM-COIL-SS304,8.553,1.0445
NW03,MAT-100767,RM-COIL-SS316,13.613,1.0824
NW03,MAT-100767,RM-COIL-NI,12.785,1.0514
NW03,MAT-100774,RM-COIL-HC276,8.735,1.0434
NW03,MAT-100778,RM-COIL-AL,5.15,1.0701
NW03,MAT-100783,RM-COIL-SS316,7.986,1.0252
NW03,MAT-100789,RM-COIL-AL,5.635,1.0659
NW03,MAT-100791,RM-COIL-AL,9.161,1.0506
NW03,MAT-100793,RM-COIL-SS304,7.802,1.0363
NW03,MAT-100795,RM-COIL-NI,7.268,1.0804
NW03,MAT-100801,RM-COIL-TI,5.552,1.0424
NW03,MAT-100801,RM-COIL-SS316,8.22,1.0281
NW03,MAT-100802,RM-COIL-NI,6.202,1.0567
NW03,MAT-100802,RM-COIL-SS304,6.827,1.0423
NW03,MAT-100804,RM-COIL-AL,4.709,1.0433
NW03,MAT-100808,RM-COIL-HC276,12.118,1.0292
NW03,MAT-100809,RM-COIL-SS304,12.526,1.0834
NW03,MAT-100811,RM-COIL-HC276,9.616,1.0639
NW03,MAT-100813,RM-COIL-AL,5.301,1.0516
NW03,MAT-100814,RM-COIL-SS316,7.874,1.0588
NW03,MAT-100816,RM-COIL-AL,4.317,1.0557
NW03,MAT-100816,RM-COIL-HC276,6.979,1.0231
NW03,MAT-100818,RM-COIL-TI,6.342,1.0454
NW03,MAT-100821,RM-COIL-SS304,14.322,1.0836
NW03,MAT-100831,RM-COIL-NI,6.733,1.0465
NW03,MAT-100838,RM-COIL-HC276,6.82,1.0434
NW03,MAT-100838,RM-COIL-SS316,8.106,1.0384
NW03,MAT-100839,RM-COIL-HC276,14.299,1.0486
NW03,MAT-100839,RM-COIL-SS316,15.578,1.0772
NW03,MAT-100860,RM-COIL-SS316,6.333,1.0414
NW03,MAT-100870,RM-COIL-TI,7.355,1.0547
NW03,MAT-100870,RM-COIL-SS316,10.52,1.0302
NW03,MAT-100872,RM-COIL-SS316,8.815,1.0599
NW03,MAT-100884,RM-COIL-AL,4.838,1.0615
NW03,MAT-100889,RM-COIL-HC276,9.207,1.0667
NW03,MAT-100890,RM-COIL-SS304,6.52,1.0404
NW03,MAT-100892,RM-COIL-SS304,14.457,1.0445
NW03,MAT-100892,RM-COIL-TI,10.317,1.065
NW03,MAT-100893,RM-COIL-NI,10.52,1.0432
NW03,MAT-100903,RM-COIL-SS304,7.635,1.0516
NW03,MAT-100903,RM-COIL-AL,5.662,1.0404
NW03,MAT-100906,RM-COIL-TI,6.23,1.0671
NW03,MAT-100907,RM-COIL-TI,6.59,1.0394
NW03,MAT-100907,RM-COIL-SS316,11.318,1.0445
NW03,MAT-100924,RM-COIL-SS316,8.596,1.0639
NW03,MAT-100925,RM-COIL-HC276,7.674,1.0414
NW03,MAT-100936,RM-COIL-NI,6.018,1.0515
NW03,MAT-100944,RM-COIL-SS316,7.902,1.0393
NW03,MAT-100945,RM-COIL-AL,5.513,1.0772
NW03,MAT-100950,RM-COIL-SS304,7.855,1.0855
NW03,MAT-100951,RM-COIL-NI,7.528,1.0568
NW03,MAT-100951,RM-COIL-AL,5.197,1.0719
NW03,MAT-100954,RM-COIL-SS304,10.332,1.0373
NW03,MAT-100955,RM-COIL-SS316,11.189,1.0557
NW03,MAT-100959,RM-COIL-AL,9.742,1.0634
NW03,MAT-100960,RM-COIL-HC276,8.894,1.0211
NW03,MAT-100981,RM-COIL-AL,5.55,1.0691
NW03,MAT-100981,RM-COIL-SS304,5.999,1.0615
NW03,MAT-100999,RM-COIL-SS316,6.576,1.0454
NW03,MAT-100999,RM-COIL-HC276,7.26,1.0262
NW03,MAT-101000,RM-COIL-NI,13.319,1.0516
NW03,MAT-101000,RM-COIL-SS316,13.179,1.0698
NW03,MAT-101003,RM-COIL-HC276,12.361,1.0649
NW03,MAT-101004,RM-COIL-SS316,6.279,1.0742
NW03,MAT-101004,RM-COIL-TI,5.902,1.0423
NW03,MAT-101005,RM-COIL-TI,6.799,1.0877
NW03,MAT-101008,RM-COIL-HC276,8.414,1.0434
NW03,MAT-101010,RM-COIL-AL,5.082,1.0669
NW03,MAT-101018,RM-COIL-SS304,7.291,1.0629
NW03,MAT-101018,RM-COIL-HC276,6.949,1.0566
NW03,MAT-101022,RM-COIL-AL,4.285,1.0292
NW03,MAT-101022,RM-COIL-SS316,8.162,1.0363
NW03,MAT-101023,RM-COIL-NI,6.948,1.065
NW03,MAT-101023,RM-COIL-HC276,9.539,1.0783
NW03,MAT-101024,RM-COIL-TI,8.45,1.0465
NW03,MAT-101037,RM-COIL-SS316,12.793,1.0594
NW03,MAT-101041,RM-COIL-SS304,6.799,1.0445
NW03,MAT-101048,RM-COIL-TI,11.442,1.0835
NW03,MAT-101051,RM-COIL-SS304,8.178,1.0689
NW03,MAT-101055,RM-COIL-SS304,12.225,1.0619
NW03,MAT-101063,RM-COIL-AL,6.454,1.0363
NW03,MAT-101069,RM-COIL-HC276,6.99,1.0261
NW03,MAT-101075,RM-COIL-AL,5.982,1.0701
NW03,MAT-101075,RM-COIL-NI,8.442,1.0445
NW03,MAT-101076,RM-COIL-SS316,6.961,1.066
NW03,MAT-101076,RM-COIL-TI,5.345,1.0434
NW03,MAT-101089,RM-COIL-NI,6.954,1.0262
NW03,MAT-101092,RM-COIL-NI,6.797,1.0353
NW03,MAT-101094,RM-COIL-TI,4.737,1.068
NW03,MAT-101095,RM-COIL-TI,5.104,1.0343
NW03,MAT-101096,RM-COIL-HC276,16.678,1.0455
NW03,MAT-101110,RM-COIL-SS304,8.932,1.0383
NW03,MAT-101119,RM-COIL-HC276,6.876,1.0577
NW03,MAT-101119,RM-COIL-AL,5.891,1.0322
NW03,MAT-101133,RM-COIL-TI,9.421,1.0373
NW03,MAT-101134,RM-COIL-AL,7.554,1.0609
NW03,MAT-101145,RM-COIL-SS304,14.431,1.0503
NW03,MAT-101146,RM-COIL-SS316,8.08,1.0424
NW03,MAT-101146,RM-COIL-TI,8.338,1.0322
NW03,MAT-101147,RM-COIL-HC276,11.248,1.0761
NW03,MAT-101148,RM-COIL-NI,6.223,1.0537
NW03,MAT-101151,RM-COIL-SS304,10.228,1.0333
NW03,MAT-101151,RM-COIL-HC276,17.816,1.0732
NW03,MAT-101152,RM-COIL-SS316,6.208,1.0486
NW03,MAT-101153,RM-COIL-TI,4.876,1.0465
NW03,MAT-101154,RM-COIL-SS316,8.183,1.0465
NW03,MAT-101157,RM-COIL-SS304,12.117,1.0553
NW03,MAT-101164,RM-COIL-NI,6.952,1.0373
NW03,MAT-101166,RM-COIL-TI,5.583,1.0619
NW03,MAT-101170,RM-COIL-HC276,10.901,1.0598
NW03,MAT-101170,RM-COIL-SS304,7.946,1.0505
NW03,MAT-101173,RM-COIL-SS304,6.376,1.0578
NW03,MAT-101173,RM-COIL-SS316,7.965,1.0312
NW03,MAT-101174,RM-COIL-SS304,5.664,1.0445
NW03,MAT-101178,RM-COIL-HC276,6.701,1.0291
NW03,MAT-101179,RM-COIL-SS304,6.708,1.0282
NW03,MAT-101185,RM-COIL-SS316,7.549,1.0475
NW03,MAT-101192,RM-COIL-NI,11.865,1.0241
NW03,MAT-101193,RM-COIL-SS316,12.058,1.0394
NW03,MAT-101193,RM-COIL-AL,9.274,1.0578
NW03,MAT-101196,RM-COIL-SS316,8.793,1.0609
NW03,MAT-101202,RM-COIL-AL,5.123,1.0241
NW03,MAT-101206,RM-COIL-SS316,8.482,1.0576
NW03,MAT-101211,RM-COIL-SS316,11.959,1.0496
NW03,MAT-101211,RM-COIL-HC276,12.815,1.0664
NW03,MAT-101219,RM-COIL-AL,7.256,1.0332
NW03,MAT-101226,RM-COIL-TI,5.711,1.0505
NW03,MAT-101227,RM-COIL-AL,4.556,1.0444
NW03,MAT-101228,RM-COIL-SS304,11.524,1.0824
NW03,MAT-101232,RM-COIL-SS316,7.651,1.0588
NW03,MAT-101235,RM-COIL-SS316,11.596,1.0444
NW03,MAT-101235,RM-COIL-NI,13.223,1.0526
NW03,MAT-101237,RM-COIL-SS304,7.252,1.0272
NW03,MAT-101246,RM-COIL-NI,6.184,1.0201
NW03,MAT-101246,RM-COIL-SS316,8.505,1.066
NW03,MAT-101255,RM-COIL-HC276,8.696,1.0322
NW03,MAT-101264,RM-COIL-SS304,11.5,1.0568
NW03,MAT-101265,RM-COIL-TI,9.067,1.0403
NW03,MAT-101267,RM-COIL-HC276,9.345,1.0412
NW03,MAT-101268,RM-COIL-HC276,9.181,1.0505
NW03,MAT-101278,RM-COIL-SS304,9.923,1.0465
NW03,MAT-101282,RM-COIL-HC276,9.485,1.0495
NW03,MAT-101286,RM-COIL-AL,4.548,1.0546
NW03,MAT-101286,RM-COIL-HC276,7.876,1.0515
NW03,MAT-101289,RM-COIL-SS316,12.07,1.0637
NW03,MAT-101294,RM-COIL-TI,6.338,1.0647
NW03,MAT-101297,RM-COIL-SS316,9.166,1.0844
NW03,MAT-101301,RM-COIL-SS304,14.784,1.0573
NW03,MAT-101302,RM-COIL-HC276,10.411,1.0638
NW03,MAT-101305,RM-COIL-AL,5.168,1.0556
NW03,MAT-101306,RM-COIL-SS316,7.595,1.0453
NW03,MAT-101322,RM-COIL-AL,5.626,1.0674
NW03,MAT-101322,RM-COIL-HC276,6.912,1.067
NW03,MAT-101324,RM-COIL-TI,10.474,1.0493
NW03,MAT-101325,RM-COIL-NI,13.079,1.0504
NW03,MAT-101325,RM-COIL-TI,11.744,1.0282
NW03,MAT-101328,RM-COIL-NI,6.37,1.0813
NW03,MAT-101332,RM-COIL-TI,5.662,1.0639
NW03,MAT-101342,RM-COIL-TI,5.63,1.0608
NW03,MAT-101342,RM-COIL-AL,5.844,1.0659
NW03,MAT-101349,RM-COIL-TI,8.967,1.0475
NW03,MAT-101352,RM-COIL-AL,5.905,1.0845
NW03,MAT-101363,RM-COIL-TI,5.97,1.0565
NW03,MAT-101365,RM-COIL-AL,5.96,1.066
NW03,MAT-101366,RM-COIL-AL,4.323,1.0444
NW03,MAT-101366,RM-COIL-HC276,8.558,1.0455
NW03,MAT-101367,RM-COIL-SS304,12.746,1.0404
NW03,MAT-101374,RM-COIL-SS304,9.39,1.0578
NW03,MAT-101381,RM-COIL-TI,5.713,1.0475
NW03,MAT-101381,RM-COIL-AL,4.521,1.0739
NW03,MAT-101383,RM-COIL-AL,5.7,1.0373
NW03,MAT-101383,RM-COIL-HC276,9.655,1.0527
NW03,MAT-101390,RM-COIL-NI,7.107,1.0363
NW03,MAT-101390,RM-COIL-SS304,6.606,1.0464
NW03,MAT-101392,RM-COIL-NI,7.255,1.0772
NW03,MAT-101395,RM-COIL-AL,4.866,1.0282
NW03,MAT-101396,RM-COIL-SS316,11.53,1.0302
NW03,MAT-101400,RM-COIL-HC276,9.486,1.0262
NW03,MAT-101403,RM-COIL-NI,11.658,1.0363
NW03,MAT-101405,RM-COIL-NI,6.667,1.0595
NW03,MAT-101407,RM-COIL-SS304,6.245,1.0434
NW03,MAT-101412,RM-COIL-TI,4.741,1.0373
NW03,MAT-101412,RM-COIL-HC276,9.012,1.0292
NW03,MAT-101413,RM-COIL-AL,5.524,1.0394
NW03,MAT-101415,RM-COIL-AL,7.414,1.0455
NW03,MAT-101421,RM-COIL-SS316,11.85,1.0211
NW03,MAT-101422,RM-COIL-SS304,9.339,1.0599
NW03,MAT-101422,RM-COIL-HC276,10.993,1.0312
NW03,MAT-101426,RM-COIL-SS316,8.149,1.0435
NW03,MAT-101428,RM-COIL-TI,5.228,1.0594
NW03,MAT-101428,RM-COIL-NI,6.864,1.069
NW03,MAT-101443,RM-COIL-SS304,6.538,1.0749
NW03,MAT-101463,RM-COIL-AL,9.781,1.0312
NW03,MAT-101464,RM-COIL-AL,4.467,1.0835
NW03,MAT-101464,RM-COIL-TI,5.01,1.0211
NW03,MAT-101473,RM-COIL-TI,5.106,1.0633
NW03,MAT-101474,RM-COIL-AL,4.752,1.0502
NW03,MAT-101477,RM-COIL-TI,5.769,1.0546
NW03,MAT-101482,RM-COIL-SS316,9.295,1.0282
NW03,MAT-101485,RM-COIL-NI,7.157,1.0414
NW03,MAT-101489,RM-COIL-TI,6.261,1.0574
NW03,MAT-101489,RM-COIL-SS304,7.267,1.0455
NW03,MAT-101496,RM-COIL-SS316,7.644,1.068
NW03,MAT-101497,RM-COIL-HC276,7.445,1.0312
NW03,MAT-101497,RM-COIL-AL,5.009,1.0496
NW03,MAT-200001,RM-COMP-AFLAS,0.541,1.0241
NW03,MAT-200007,RM-COMP-HNBR,0.349,1.0422
NW03,MAT-200008,RM-COMP-EPDM,0.301,1.0834
NW03,MAT-200008,RM-COMP-FKM,0.445,1.0752
NW03,MAT-200009,RM-COMP-SILI,0.31,1.0444
NW03,MAT-200011,RM-COMP-SILI,0.383,1.0712
NW03,MAT-200011,RM-COMP-NBR,0.354,1.0251
NW03,MAT-200013,RM-COMP-AFLAS,0.493,1.0742
NW03,MAT-200021,RM-COMP-NBR,0.309,1.0628
NW03,MAT-200025,RM-COMP-SILI,0.374,1.0708
NW03,MAT-200025,RM-COMP-NBR,0.405,1.0343
NW03,MAT-200026,RM-COMP-SILI,0.31,1.0605
NW03,MAT-200035,RM-COMP-SILI,0.31,1.0496
NW03,MAT-200035,RM-COMP-AFLAS,0.436,1.0763
NW03,MAT-200043,RM-COMP-EPDM,0.295,1.0434
NW03,MAT-200048,RM-COMP-HNBR,0.378,1.0495
NW03,MAT-200069,RM-COMP-SILI,0.267,1.0615
NW03,MAT-200072,RM-COMP-EPDM,0.262,1.0506
NW03,MAT-200080,RM-COMP-FKM,0.484,1.0434
NW03,MAT-200081,RM-COMP-HNBR,0.419,1.0526
NW03,MAT-200083,RM-COMP-SILI,0.332,1.0707
NW03,MAT-200083,RM-COMP-FKM,0.498,1.0783
NW03,MAT-200085,RM-COMP-AFLAS,0.478,1.0402
NW03,MAT-200085,RM-COMP-NBR,0.394,1.0525
NW03,MAT-200091,RM-COMP-FKM,0.501,1.0545
NW03,MAT-200092,RM-COMP-AFLAS,0.396,1.0486
NW03,MAT-200110,RM-COMP-NBR,0.362,1.0434
NW03,MAT-200111,RM-COMP-AFLAS,0.412,1.0485
NW03,MAT-200112,RM-COMP-EPDM,0.248,1.0463
NW03,MAT-200116,RM-COMP-AFLAS,0.396,1.0655
NW03,MAT-200116,RM-COMP-SILI,0.366,1.0759
NW03,MAT-200118,RM-COMP-NBR,0.406,1.0743
NW03,MAT-200118,RM-COMP-AFLAS,0.433,1.0454
NW03,MAT-200119,RM-COMP-SILI,0.324,1.0567
NW03,MAT-200122,RM-COMP-NBR,0.396,1.0455
NW03,MAT-200122,RM-COMP-EPDM,0.243,1.0476
NW03,MAT-200130,RM-COMP-HNBR,0.44,1.0655
NW03,MAT-200132,RM-COMP-AFLAS,0.403,1.0866
NW03,MAT-200140,RM-COMP-FKM,0.471,1.0322
NW03,MAT-200143,RM-COMP-SILI,0.292,1.0301
NW03,MAT-200143,RM-COMP-HNBR,0.457,1.0649
NW03,MAT-200145,RM-COMP-FKM,0.405,1.0791
NW03,MAT-200145,RM-COMP-HNBR,0.368,1.0711
NW03,MAT-200146,RM-COMP-HNBR,0.385,1.0695
NW03,MAT-200154,RM-COMP-NBR,0.394,1.0484
NW03,MAT-200155,RM-COMP-HNBR,0.396,1.0486
NW03,MAT-200155,RM-COMP-AFLAS,0.395,1.0617
NW03,MAT-200158,RM-COMP-FKM,0.435,1.0414
NW03,MAT-200161,RM-COMP-AFLAS,0.489,1.0332
NW03,MAT-200161,RM-COMP-HNBR,0.388,1.0505
NW03,MAT-200163,RM-COMP-AFLAS,0.437,1.0465
